,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Sort
185,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000021.JPG,02_07_WHIP_000021.JPG,832 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
23,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000022.JPG,02_07_WHIP_000022.JPG,825 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
24,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000023.JPG,02_07_WHIP_000023.JPG,824 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
188,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000024.JPG,02_07_WHIP_000024.JPG,824 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
26,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000025.JPG,02_07_WHIP_000025.JPG,802 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
27,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000026.JPG,02_07_WHIP_000026.JPG,801 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
192,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000027.JPG,02_07_WHIP_000027.JPG,801 kB,,1/1/13 0:00,2000x1500,,0,2.8,100,,No Flash,1/1/13 0:00
481,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000028.JPG,02_07_WHIP_000028.JPG,850 kB,,1/1/13 16:25,2000x1500,,0,2.8,100,,No Flash,1/1/13 16:25
482,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000029.JPG,02_07_WHIP_000029.JPG,854 kB,,1/1/13 16:25,2000x1500,,0,2.8,100,,No Flash,1/1/13 16:25
483,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000030.JPG,02_07_WHIP_000030.JPG,854 kB,,1/1/13 16:25,2000x1500,,0,2.8,100,,No Flash,1/1/13 16:25
598,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000031.JPG,02_07_WHIP_000031.JPG,838 kB,,1/3/13 23:36,2000x1500,,0,2.8,100,,No Flash,1/3/13 23:36
599,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000032.JPG,02_07_WHIP_000032.JPG,840 kB,,1/3/13 23:36,2000x1500,,0,2.8,100,,No Flash,1/3/13 23:36
600,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000033.JPG,02_07_WHIP_000033.JPG,842 kB,,1/3/13 23:36,2000x1500,,0,2.8,100,,No Flash,1/3/13 23:36
613,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000034.JPG,02_07_WHIP_000034.JPG,871 kB,,1/4/13 3:13,2000x1500,,0,2.8,100,,No Flash,1/4/13 3:13
614,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/02_07_WHIP_000035.JPG,02_07_WHIP_000035.JPG,871 kB,,1/4/13 3:13,2000x1500,,0,2.8,100,,No Flash,1/4/13 3:13
